ID_PER,P5_17_1,P5_17_2,P5_17_3,P5_17_4,P5_16_1,P5_16_3,P5_11_01,P5_26,P5_1,P5_2_1,P5_2_4,P6_1,P6_3,P6_4_1,P6_4_2,P6_13,P6_14_1,P6_14_2,P6_14_3,P6_15,P7_37,P7_38,P7_40_1,P7_40_2,P7_40_3,P7_40_4,P7_40_5,P7_40_6,P7_1,P7_2,P7_9,P7_35,P7_36,P8_9_12,P10_7,P10_5_1,P10_5_2,P10_5_3,P10_5_4,P10_1,P10_3,P10_6,P10_8
0105.8249,4,1,1,4,1,1,0,1,2,1,1,5,2,1,2,3,2,2,1,2,3,3,2,2,2,2,2,2,2,13,1,1,1,1,4,2,2,2,2,2,1,1,2
0113.7814,1,4,3,3,1,3,1,4,1,1,1,5,1,1,1,3,2,2,1,2,3,3,1,2,2,2,2,2,1,23,1,1,2,2,4,1,2,1,1,1,2,1,2
0119.5396,3,3,2,4,1,1,0,4,2,1,1,10,1,2,1,2,2,1,2,2,4,4,1,2,2,2,2,2,2,15,1,1,1,2,4,2,2,2,2,1,2,1,2
0120.5666,3,1,2,4,1,1,0,4,2,1,2,2,2,1,2,3,1,1,2,2,4,3,1,2,2,1,2,2,1,16,1,1,1,2,4,1,3,1,1,2,2,1,2
0121.9598,4,1,2,2,1,1,0,4,2,1,1,22,2,1,2,3,2,1,1,2,4,4,1,2,2,2,2,2,2,20,2,1,1,2,4,2,2,2,2,2,2,2,2
0122.9955,1,4,4,4,1,1,0,3,2,1,1,4,2,1,1,3,1,2,1,2,3,3,2,2,2,2,2,2,2,14,1,1,1,2,4,1,1,1,1,1,2,1,1
0123.8284,4,2,2,2,2,1,0,4,1,1,1,2,2,1,1,2,2,2,1,2,3,2,1,2,2,2,2,2,2,20,2,2,2,2,4,1,1,2,1,2,2,2,2
0126.2263,1,1,1,1,3,1,1,1,1,1,2,5,2,1,1,3,1,2,2,2,3,3,1,2,2,2,2,2,1,11,1,1,1,2,3,2,2,2,2,2,1,1,1
0132.8593,1,1,1,1,1,1,0,1,1,1,1,4,2,1,1,4,1,1,2,2,4,2,1,2,2,1,1,2,1,12,1,1,1,2,4,2,2,2,2,1,1,1,2
0145.6597,3,3,2,3,1,1,0,2,1,1,1,3,2,1,2,3,1,2,1,2,4,4,1,2,2,2,2,2,1,19,1,2,1,2,4,2,2,2,2,2,1,1,2
0146.7384,4,3,2,4,1,1,0,3,1,1,1,6,2,1,1,3,2,2,1,2,3,2,1,2,2,2,2,2,2,12,1,1,1,2,4,1,1,1,2,2,2,2,2
0150.7851,4,3,1,2,2,1,0,4,1,1,1,0,2,1,2,3,2,2,1,1,3,4,1,2,2,2,2,2,1,20,1,1,1,1,4,2,2,2,2,2,2,1,1
0152.4520,4,3,2,4,1,1,0,4,2,1,2,4,2,1,1,3,2,2,1,2,3,3,1,2,2,2,2,2,2,13,1,1,2,2,4,1,1,1,1,2,1,2,2
0153.5202,4,3,3,3,1,1,0,4,1,1,1,4,2,1,1,3,2,2,1,2,3,2,1,2,2,1,2,2,1,21,2,2,2,1,4,1,1,1,2,2,2,2,2
0167.9039,3,3,3,4,1,1,0,3,1,1,1,4,2,1,1,4,1,1,2,2,4,4,1,2,1,2,1,1,1,12,1,2,1,1,4,2,2,2,2,1,2,1,1
0185.0249,3,2,3,4,2,2,0,3,2,1,1,6,2,1,1,2,2,2,1,2,3,3,1,2,2,2,2,2,2,10,1,2,2,2,4,1,1,2,2,2,2,2,2
0194.3673,4,3,3,4,2,1,0,3,2,1,1,19,1,1,2,3,2,2,1,2,3,4,1,2,2,2,2,2,1,15,1,1,1,2,4,1,1,1,1,1,1,2,2
0200.2447,1,1,1,1,1,1,0,1,1,1,1,3,2,1,1,3,1,1,2,2,3,3,1,2,2,2,2,2,1,13,1,1,1,2,4,1,1,2,1,2,1,1,1
0202.2225,3,3,3,2,1,3,0,1,1,1,1,1,2,1,1,3,1,2,1,2,2,3,1,2,2,2,2,2,1,23,1,1,1,2,4,1,1,1,1,1,1,1,1
0204.1450,3,3,3,3,1,1,0,2,2,1,1,70,1,1,1,3,1,2,1,2,3,3,1,2,2,2,2,2,1,7,1,1,1,1,4,1,2,2,1,2,1,1,2
0209.5021,2,2,2,2,3,1,0,2,2,1,1,6,2,1,1,3,1,1,1,2,3,3,2,2,2,2,2,2,2,15,1,1,1,2,4,1,1,1,2,2,1,1,2
0215.0490,4,4,1,2,1,1,0,4,1,1,1,6,2,1,1,3,1,2,1,1,4,4,1,2,2,2,2,2,1,14,1,1,1,2,4,2,2,2,2,2,2,1,2
0217.2394,4,4,4,4,1,1,0,3,2,1,2,1,2,1,2,3,1,1,1,2,4,3,1,2,2,2,2,2,1,10,1,1,1,1,4,1,1,1,1,2,1,1,2
0219.6163,4,1,3,3,2,2,0,3,2,1,1,5,2,1,1,3,2,2,1,2,4,4,1,2,2,2,2,2,2,16,1,1,1,2,4,1,1,1,1,2,2,2,2
